src_product_id,product_name,category,subcategory,brand,mrp,standard_cost,weight_kg,is_perishable,reorder_level,supplier_code,launch_date,is_active,etl_load_date
1,Makeup Model 225,Beauty,Makeup,Brand23,2745.0,1640.0,3.59,0,60,SUP015,2018-07-29,1,2026-05-24
2,Fragrances Model 479,Beauty,Fragrances,Brand27,795.0,344.0,3.94,0,14,SUP016,2020-05-20,1,2026-05-24
3,Snacks Model 600,Grocery,Snacks,Brand31,135.0,83.0,3.3,1,76,SUP051,2016-06-27,1,2026-05-24
4,Appliances Model 364,Home & Kitchen,Appliances,Brand33,31773.0,15417.0,0.17,0,30,SUP098,2015-12-12,1,2026-05-24
5,Laptops Model 817,Electronics,Laptops,Brand25,21944.0,9464.0,0.22,0,37,SUP074,2019-11-09,1,2026-05-24
6,Bedding Model 602,Home & Kitchen,Bedding,Brand37,33777.0,20546.0,15.95,0,74,SUP042,2020-10-29,1,2026-05-24
7,Men Clothing Model 324,Fashion,Men Clothing,Brand16,2115.0,1334.0,19.57,0,61,SUP073,2018-06-26,1,2026-05-24
8,Appliances Model 315,Home & Kitchen,Appliances,Brand10,17823.0,7976.0,18.94,0,60,SUP071,2022-07-16,1,2026-05-24
9,Staples Model 247,Grocery,Staples,Brand07,1675.0,961.0,18.6,1,25,SUP004,2017-10-30,1,2026-05-24
10,Footwear Model 924,Fashion,Footwear,Brand06,12246.0,6109.0,11.8,0,25,SUP069,2015-08-20,1,2026-05-24
11,Football Model 682,Sports,Football,Brand09,26680.0,14250.0,14.83,0,47,SUP040,2021-01-25,1,2026-05-24
12,Outdoor Model 270,Sports,Outdoor,Brand27,1164.0,595.0,18.48,0,65,SUP035,2019-05-03,1,2026-05-24
13,Tablets Model 733,Electronics,Tablets,Brand29,3524.0,2282.0,13.03,0,68,SUP040,2015-07-05,1,2026-05-24
14,Men Clothing Model 116,Fashion,Men Clothing,Brand36,11593.0,6641.0,16.09,0,99,SUP059,2018-06-16,1,2026-05-24
15,Men Clothing Model 599,Fashion,Men Clothing,Brand14,13825.0,7737.0,0.13,0,100,SUP088,2018-06-28,1,2026-05-24
16,Beverages Model 186,Grocery,Beverages,Brand40,1422.0,569.0,16.58,1,26,SUP078,2018-04-28,1,2026-05-24
17,Dairy Model 327,Grocery,Dairy,Brand20,402.0,204.0,10.62,1,60,SUP094,2018-07-03,1,2026-05-24
18,Men Clothing Model 754,Fashion,Men Clothing,Brand21,14301.0,7470.0,9.76,0,74,SUP016,2020-01-29,1,2026-05-24
19,Dairy Model 773,Grocery,Dairy,Brand06,1506.0,926.0,2.72,1,97,SUP093,2019-10-22,1,2026-05-24
20,Footwear Model 297,Fashion,Footwear,Brand45,7862.0,4765.0,18.91,0,91,SUP070,2022-05-04,1,2026-05-24
21,Dairy Model 591,Grocery,Dairy,Brand29,211.0,128.0,1.1,1,49,SUP095,2015-07-14,1,2026-05-24
22,Footwear Model 281,Fashion,Footwear,Brand48,7656.0,3486.0,16.67,0,15,SUP069,2017-03-21,1,2026-05-24
23,Accessories Model 966,Fashion,Accessories,Brand28,14353.0,9256.0,19.23,0,86,SUP045,2020-01-10,1,2026-05-24
24,Makeup Model 117,Beauty,Makeup,Brand17,2301.0,1272.0,15.56,0,57,SUP049,2018-12-17,1,2026-05-24
25,Bedding Model 506,Home & Kitchen,Bedding,Brand31,1695.0,1087.0,6.83,0,76,SUP050,2022-06-17,1,2026-05-24
26,Staples Model 438,Grocery,Staples,Brand32,1674.0,878.0,14.75,1,53,SUP095,2020-03-09,1,2026-05-24
27,Haircare Model 882,Beauty,Haircare,Brand35,4411.0,2296.0,9.75,0,27,SUP028,2020-01-10,1,2026-05-24
28,Haircare Model 297,Beauty,Haircare,Brand26,2501.0,1569.0,5.98,0,66,SUP025,2019-04-08,0,2026-05-24
29,Appliances Model 962,Home & Kitchen,Appliances,Brand27,21395.0,11212.0,19.87,0,25,SUP005,2022-08-12,1,2026-05-24
30,Cookware Model 440,Home & Kitchen,Cookware,Brand06,1313.0,753.0,12.09,0,39,SUP081,2017-12-19,1,2026-05-24
31,Fitness Equipment Model 425,Sports,Fitness Equipment,Brand21,12462.0,7743.0,1.05,0,72,SUP042,2019-11-06,1,2026-05-24
32,Men Clothing Model 350,Fashion,Men Clothing,Brand36,2234.0,1422.0,8.07,0,71,SUP069,2018-05-23,1,2026-05-24
33,Fitness Equipment Model 914,Sports,Fitness Equipment,Brand15,4897.0,3042.0,7.89,0,31,SUP067,2016-07-15,1,2026-05-24
34,Staples Model 568,Grocery,Staples,Brand42,1287.0,583.0,18.06,1,100,SUP086,2022-06-30,1,2026-05-24
35,Cricket Model 223,Sports,Cricket,Brand19,12166.0,5921.0,18.68,0,81,SUP071,2019-11-08,1,2026-05-24
36,Footwear Model 890,Fashion,Footwear,Brand10,2207.0,970.0,18.89,0,91,SUP008,2022-11-25,1,2026-05-24
37,Outdoor Model 773,Sports,Outdoor,Brand14,9282.0,5646.0,10.77,0,77,SUP012,2020-08-11,1,2026-05-24
38,Furniture Model 528,Home & Kitchen,Furniture,Brand27,11777.0,7124.0,4.73,0,31,SUP100,2019-12-13,1,2026-05-24
39,Smart TV Model 465,Electronics,Smart TV,Brand06,35128.0,17734.0,17.5,0,34,SUP048,2022-09-19,0,2026-05-24
40,Tablets Model 415,Electronics,Tablets,Brand40,37761.0,21494.0,14.52,0,29,SUP066,2022-05-28,1,2026-05-24
41,Headphones Model 758,Electronics,Headphones,Brand29,118393.0,72037.0,11.05,0,15,SUP060,2019-09-24,1,2026-05-24
42,Makeup Model 520,Beauty,Makeup,Brand31,2150.0,1133.0,11.83,0,95,SUP013,2022-08-21,1,2026-05-24
43,Mobile Phones Model 720,Electronics,Mobile Phones,Brand11,78955.0,49720.0,1.49,0,15,SUP061,2018-03-06,1,2026-05-24
44,Football Model 663,Sports,Football,Brand12,29799.0,15686.0,15.95,0,93,SUP024,2017-10-12,1,2026-05-24
45,Bedding Model 815,Home & Kitchen,Bedding,Brand05,38637.0,16410.0,4.33,0,21,SUP099,2020-05-26,1,2026-05-24
46,Haircare Model 952,Beauty,Haircare,Brand32,3846.0,1667.0,3.57,0,14,SUP023,2015-08-08,0,2026-05-24
47,Outdoor Model 525,Sports,Outdoor,Brand44,9219.0,5291.0,5.32,0,46,SUP043,2018-05-30,1,2026-05-24
48,Appliances Model 366,Home & Kitchen,Appliances,Brand03,45214.0,21839.0,11.46,0,90,SUP080,2015-07-25,1,2026-05-24
49,Cricket Model 860,Sports,Cricket,Brand43,5915.0,3263.0,17.34,0,98,SUP027,2022-07-27,1,2026-05-24
50,Women Clothing Model 491,Fashion,Women Clothing,Brand45,7335.0,3247.0,11.83,0,66,SUP022,2017-01-29,1,2026-05-24
51,Cookware Model 752,Home & Kitchen,Cookware,Brand50,29004.0,12084.0,2.46,0,37,SUP068,2020-05-08,1,2026-05-24
52,Fragrances Model 346,Beauty,Fragrances,Brand49,4826.0,1932.0,8.32,0,29,SUP006,2021-05-07,1,2026-05-24
53,Headphones Model 769,Electronics,Headphones,Brand33,1894.0,905.0,15.48,0,15,SUP092,2017-02-10,1,2026-05-24
54,Tablets Model 906,Electronics,Tablets,Brand08,18265.0,11160.0,12.04,0,48,SUP072,2022-06-17,1,2026-05-24
55,Skincare Model 633,Beauty,Skincare,Brand29,2433.0,990.0,0.26,0,59,SUP032,2020-01-31,1,2026-05-24
56,Cookware Model 869,Home & Kitchen,Cookware,Brand35,43272.0,22263.0,18.23,0,82,SUP015,2019-02-09,0,2026-05-24
57,Fitness Equipment Model 493,Sports,Fitness Equipment,Brand19,28581.0,14640.0,12.52,0,12,SUP100,2021-04-10,1,2026-05-24
58,Cookware Model 477,Home & Kitchen,Cookware,Brand40,32408.0,19008.0,6.61,0,57,SUP036,2018-11-08,0,2026-05-24
59,Furniture Model 513,Home & Kitchen,Furniture,Brand29,19808.0,8269.0,7.97,0,94,SUP074,2020-04-09,1,2026-05-24
60,Dairy Model 705,Grocery,Dairy,Brand42,792.0,433.0,15.52,1,88,SUP006,2016-07-01,1,2026-05-24
61,Staples Model 421,Grocery,Staples,Brand22,576.0,312.0,0.6,1,57,SUP048,2019-10-30,1,2026-05-24
62,Haircare Model 344,Beauty,Haircare,Brand39,213.0,102.0,16.07,0,87,SUP042,2022-08-24,1,2026-05-24
63,Football Model 809,Sports,Football,Brand39,25386.0,16114.0,12.35,0,34,SUP038,2017-09-30,1,2026-05-24
64,Bedding Model 150,Home & Kitchen,Bedding,Brand09,46965.0,22718.0,13.09,0,15,SUP043,2017-05-25,1,2026-05-24
65,Women Clothing Model 983,Fashion,Women Clothing,Brand50,6393.0,3242.0,18.81,0,79,SUP076,2015-01-25,1,2026-05-24
66,Haircare Model 628,Beauty,Haircare,Brand03,4850.0,2605.0,10.45,0,84,SUP079,2015-04-05,1,2026-05-24
67,Men Clothing Model 212,Fashion,Men Clothing,Brand46,12237.0,7757.0,14.13,0,72,SUP094,2019-06-10,1,2026-05-24
68,Accessories Model 120,Fashion,Accessories,Brand14,264.0,167.0,2.63,0,55,SUP051,2018-06-21,1,2026-05-24
69,Footwear Model 501,Fashion,Footwear,Brand22,10116.0,5578.0,0.83,0,35,SUP039,2018-09-23,1,2026-05-24
70,Staples Model 569,Grocery,Staples,Brand23,383.0,180.0,17.29,1,65,SUP056,2019-10-02,1,2026-05-24
71,Bedding Model 330,Home & Kitchen,Bedding,Brand24,36851.0,16663.0,1.69,0,89,SUP008,2018-02-06,1,2026-05-24
72,Bedding Model 271,Home & Kitchen,Bedding,Brand06,20376.0,9109.0,7.35,0,52,SUP096,2019-05-02,1,2026-05-24
73,Women Clothing Model 923,Fashion,Women Clothing,Brand14,489.0,249.0,12.9,0,20,SUP079,2018-10-26,1,2026-05-24
74,Snacks Model 393,Grocery,Snacks,Brand02,1996.0,845.0,14.7,1,84,SUP022,2020-08-13,1,2026-05-24
75,Men Clothing Model 516,Fashion,Men Clothing,Brand46,2422.0,1529.0,10.0,0,74,SUP061,2020-12-25,1,2026-05-24
76,Cookware Model 803,Home & Kitchen,Cookware,Brand23,27875.0,12220.0,12.81,0,50,SUP054,2018-03-05,1,2026-05-24
77,Makeup Model 159,Beauty,Makeup,Brand15,824.0,535.0,0.19,0,27,SUP004,2022-11-22,1,2026-05-24
78,Bedding Model 756,Home & Kitchen,Bedding,Brand10,44496.0,21936.0,16.96,0,33,SUP088,2015-08-26,1,2026-05-24
79,Skincare Model 174,Beauty,Skincare,Brand01,1414.0,779.0,0.62,0,69,SUP047,2015-07-06,1,2026-05-24
80,Laptops Model 237,Electronics,Laptops,Brand23,6953.0,3339.0,7.48,0,34,SUP083,2017-09-10,1,2026-05-24
81,Smart TV Model 743,Electronics,Smart TV,Brand13,27153.0,11409.0,12.78,0,15,SUP054,2021-11-13,0,2026-05-24
82,Appliances Model 431,Home & Kitchen,Appliances,Brand28,27738.0,13190.0,12.3,0,70,SUP024,2020-01-22,1,2026-05-24
83,Football Model 694,Sports,Football,Brand41,15276.0,7060.0,5.47,0,78,SUP022,2021-01-05,1,2026-05-24
84,Beverages Model 315,Grocery,Beverages,Brand30,1240.0,746.0,11.68,1,35,SUP040,2018-05-21,1,2026-05-24
85,Staples Model 233,Grocery,Staples,Brand18,651.0,357.0,12.17,1,75,SUP034,2016-03-28,1,2026-05-24
86,Women Clothing Model 885,Fashion,Women Clothing,Brand46,3159.0,1346.0,18.99,0,75,SUP021,2017-03-03,1,2026-05-24
87,Furniture Model 227,Home & Kitchen,Furniture,Brand15,43584.0,23218.0,3.4,0,18,SUP069,2021-04-26,1,2026-05-24
88,Staples Model 982,Grocery,Staples,Brand29,1597.0,869.0,15.07,1,54,SUP046,2019-09-06,0,2026-05-24
