product_key,product_id,product_name,category,subcategory,brand,mrp,standard_cost,standard_margin_pct,price_band,is_perishable,is_active,launch_year
1,1,Makeup Model 225,Beauty,Makeup,Brand23,2745.0,1640.0,40.26,Mid-Range,0,1,2018
2,2,Fragrances Model 479,Beauty,Fragrances,Brand27,795.0,344.0,56.73,Mid-Range,0,1,2020
3,3,Snacks Model 600,Grocery,Snacks,Brand31,135.0,83.0,38.52,Budget,1,1,2016
4,4,Appliances Model 364,Home & Kitchen,Appliances,Brand33,31773.0,15417.0,51.48,Luxury,0,1,2015
5,5,Laptops Model 817,Electronics,Laptops,Brand25,21944.0,9464.0,56.87,Premium,0,1,2019
6,6,Bedding Model 602,Home & Kitchen,Bedding,Brand37,33777.0,20546.0,39.17,Luxury,0,1,2020
7,7,Men Clothing Model 324,Fashion,Men Clothing,Brand16,2115.0,1334.0,36.93,Mid-Range,0,1,2018
8,8,Appliances Model 315,Home & Kitchen,Appliances,Brand10,17823.0,7976.0,55.25,Premium,0,1,2022
9,9,Staples Model 247,Grocery,Staples,Brand07,1675.0,961.0,42.63,Mid-Range,1,1,2017
10,10,Footwear Model 924,Fashion,Footwear,Brand06,12246.0,6109.0,50.11,Premium,0,1,2015
11,11,Football Model 682,Sports,Football,Brand09,26680.0,14250.0,46.59,Luxury,0,1,2021
12,12,Outdoor Model 270,Sports,Outdoor,Brand27,1164.0,595.0,48.88,Mid-Range,0,1,2019
13,13,Tablets Model 733,Electronics,Tablets,Brand29,3524.0,2282.0,35.24,Mid-Range,0,1,2015
14,14,Men Clothing Model 116,Fashion,Men Clothing,Brand36,11593.0,6641.0,42.72,Premium,0,1,2018
15,15,Men Clothing Model 599,Fashion,Men Clothing,Brand14,13825.0,7737.0,44.04,Premium,0,1,2018
16,16,Beverages Model 186,Grocery,Beverages,Brand40,1422.0,569.0,59.99,Mid-Range,1,1,2018
17,17,Dairy Model 327,Grocery,Dairy,Brand20,402.0,204.0,49.25,Budget,1,1,2018
18,18,Men Clothing Model 754,Fashion,Men Clothing,Brand21,14301.0,7470.0,47.77,Premium,0,1,2020
19,19,Dairy Model 773,Grocery,Dairy,Brand06,1506.0,926.0,38.51,Mid-Range,1,1,2019
20,20,Footwear Model 297,Fashion,Footwear,Brand45,7862.0,4765.0,39.39,Premium,0,1,2022
21,21,Dairy Model 591,Grocery,Dairy,Brand29,211.0,128.0,39.34,Budget,1,1,2015
22,22,Footwear Model 281,Fashion,Footwear,Brand48,7656.0,3486.0,54.47,Premium,0,1,2017
23,23,Accessories Model 966,Fashion,Accessories,Brand28,14353.0,9256.0,35.51,Premium,0,1,2020
24,24,Makeup Model 117,Beauty,Makeup,Brand17,2301.0,1272.0,44.72,Mid-Range,0,1,2018
25,25,Bedding Model 506,Home & Kitchen,Bedding,Brand31,1695.0,1087.0,35.87,Mid-Range,0,1,2022
26,26,Staples Model 438,Grocery,Staples,Brand32,1674.0,878.0,47.55,Mid-Range,1,1,2020
27,27,Haircare Model 882,Beauty,Haircare,Brand35,4411.0,2296.0,47.95,Mid-Range,0,1,2020
28,28,Haircare Model 297,Beauty,Haircare,Brand26,2501.0,1569.0,37.27,Mid-Range,0,0,2019
29,29,Appliances Model 962,Home & Kitchen,Appliances,Brand27,21395.0,11212.0,47.6,Premium,0,1,2022
30,30,Cookware Model 440,Home & Kitchen,Cookware,Brand06,1313.0,753.0,42.65,Mid-Range,0,1,2017
31,31,Fitness Equipment Model 425,Sports,Fitness Equipment,Brand21,12462.0,7743.0,37.87,Premium,0,1,2019
32,32,Men Clothing Model 350,Fashion,Men Clothing,Brand36,2234.0,1422.0,36.35,Mid-Range,0,1,2018
33,33,Fitness Equipment Model 914,Sports,Fitness Equipment,Brand15,4897.0,3042.0,37.88,Mid-Range,0,1,2016
34,34,Staples Model 568,Grocery,Staples,Brand42,1287.0,583.0,54.7,Mid-Range,1,1,2022
35,35,Cricket Model 223,Sports,Cricket,Brand19,12166.0,5921.0,51.33,Premium,0,1,2019
36,36,Footwear Model 890,Fashion,Footwear,Brand10,2207.0,970.0,56.05,Mid-Range,0,1,2022
37,37,Outdoor Model 773,Sports,Outdoor,Brand14,9282.0,5646.0,39.17,Premium,0,1,2020
38,38,Furniture Model 528,Home & Kitchen,Furniture,Brand27,11777.0,7124.0,39.51,Premium,0,1,2019
39,39,Smart TV Model 465,Electronics,Smart TV,Brand06,35128.0,17734.0,49.52,Luxury,0,0,2022
40,40,Tablets Model 415,Electronics,Tablets,Brand40,37761.0,21494.0,43.08,Luxury,0,1,2022
41,41,Headphones Model 758,Electronics,Headphones,Brand29,118393.0,72037.0,39.15,Luxury,0,1,2019
42,42,Makeup Model 520,Beauty,Makeup,Brand31,2150.0,1133.0,47.3,Mid-Range,0,1,2022
43,43,Mobile Phones Model 720,Electronics,Mobile Phones,Brand11,78955.0,49720.0,37.03,Luxury,0,1,2018
44,44,Football Model 663,Sports,Football,Brand12,29799.0,15686.0,47.36,Luxury,0,1,2017
45,45,Bedding Model 815,Home & Kitchen,Bedding,Brand05,38637.0,16410.0,57.53,Luxury,0,1,2020
46,46,Haircare Model 952,Beauty,Haircare,Brand32,3846.0,1667.0,56.66,Mid-Range,0,0,2015
47,47,Outdoor Model 525,Sports,Outdoor,Brand44,9219.0,5291.0,42.61,Premium,0,1,2018
48,48,Appliances Model 366,Home & Kitchen,Appliances,Brand03,45214.0,21839.0,51.7,Luxury,0,1,2015
49,49,Cricket Model 860,Sports,Cricket,Brand43,5915.0,3263.0,44.84,Premium,0,1,2022
50,50,Women Clothing Model 491,Fashion,Women Clothing,Brand45,7335.0,3247.0,55.73,Premium,0,1,2017
51,51,Cookware Model 752,Home & Kitchen,Cookware,Brand50,29004.0,12084.0,58.34,Luxury,0,1,2020
52,52,Fragrances Model 346,Beauty,Fragrances,Brand49,4826.0,1932.0,59.97,Mid-Range,0,1,2021
53,53,Headphones Model 769,Electronics,Headphones,Brand33,1894.0,905.0,52.22,Mid-Range,0,1,2017
54,54,Tablets Model 906,Electronics,Tablets,Brand08,18265.0,11160.0,38.9,Premium,0,1,2022
55,55,Skincare Model 633,Beauty,Skincare,Brand29,2433.0,990.0,59.31,Mid-Range,0,1,2020
56,56,Cookware Model 869,Home & Kitchen,Cookware,Brand35,43272.0,22263.0,48.55,Luxury,0,0,2019
57,57,Fitness Equipment Model 493,Sports,Fitness Equipment,Brand19,28581.0,14640.0,48.78,Luxury,0,1,2021
58,58,Cookware Model 477,Home & Kitchen,Cookware,Brand40,32408.0,19008.0,41.35,Luxury,0,0,2018
59,59,Furniture Model 513,Home & Kitchen,Furniture,Brand29,19808.0,8269.0,58.25,Premium,0,1,2020
60,60,Dairy Model 705,Grocery,Dairy,Brand42,792.0,433.0,45.33,Mid-Range,1,1,2016
61,61,Staples Model 421,Grocery,Staples,Brand22,576.0,312.0,45.83,Mid-Range,1,1,2019
62,62,Haircare Model 344,Beauty,Haircare,Brand39,213.0,102.0,52.11,Budget,0,1,2022
63,63,Football Model 809,Sports,Football,Brand39,25386.0,16114.0,36.52,Luxury,0,1,2017
64,64,Bedding Model 150,Home & Kitchen,Bedding,Brand09,46965.0,22718.0,51.63,Luxury,0,1,2017
65,65,Women Clothing Model 983,Fashion,Women Clothing,Brand50,6393.0,3242.0,49.29,Premium,0,1,2015
66,66,Haircare Model 628,Beauty,Haircare,Brand03,4850.0,2605.0,46.29,Mid-Range,0,1,2015
67,67,Men Clothing Model 212,Fashion,Men Clothing,Brand46,12237.0,7757.0,36.61,Premium,0,1,2019
68,68,Accessories Model 120,Fashion,Accessories,Brand14,264.0,167.0,36.74,Budget,0,1,2018
69,69,Footwear Model 501,Fashion,Footwear,Brand22,10116.0,5578.0,44.86,Premium,0,1,2018
70,70,Staples Model 569,Grocery,Staples,Brand23,383.0,180.0,53.0,Budget,1,1,2019
71,71,Bedding Model 330,Home & Kitchen,Bedding,Brand24,36851.0,16663.0,54.78,Luxury,0,1,2018
72,72,Bedding Model 271,Home & Kitchen,Bedding,Brand06,20376.0,9109.0,55.3,Premium,0,1,2019
73,73,Women Clothing Model 923,Fashion,Women Clothing,Brand14,489.0,249.0,49.08,Budget,0,1,2018
74,74,Snacks Model 393,Grocery,Snacks,Brand02,1996.0,845.0,57.67,Mid-Range,1,1,2020
75,75,Men Clothing Model 516,Fashion,Men Clothing,Brand46,2422.0,1529.0,36.87,Mid-Range,0,1,2020
76,76,Cookware Model 803,Home & Kitchen,Cookware,Brand23,27875.0,12220.0,56.16,Luxury,0,1,2018
77,77,Makeup Model 159,Beauty,Makeup,Brand15,824.0,535.0,35.07,Mid-Range,0,1,2022
78,78,Bedding Model 756,Home & Kitchen,Bedding,Brand10,44496.0,21936.0,50.7,Luxury,0,1,2015
79,79,Skincare Model 174,Beauty,Skincare,Brand01,1414.0,779.0,44.91,Mid-Range,0,1,2015
80,80,Laptops Model 237,Electronics,Laptops,Brand23,6953.0,3339.0,51.98,Premium,0,1,2017
81,81,Smart TV Model 743,Electronics,Smart TV,Brand13,27153.0,11409.0,57.98,Luxury,0,0,2021
82,82,Appliances Model 431,Home & Kitchen,Appliances,Brand28,27738.0,13190.0,52.45,Luxury,0,1,2020
83,83,Football Model 694,Sports,Football,Brand41,15276.0,7060.0,53.78,Premium,0,1,2021
84,84,Beverages Model 315,Grocery,Beverages,Brand30,1240.0,746.0,39.84,Mid-Range,1,1,2018
85,85,Staples Model 233,Grocery,Staples,Brand18,651.0,357.0,45.16,Mid-Range,1,1,2016
86,86,Women Clothing Model 885,Fashion,Women Clothing,Brand46,3159.0,1346.0,57.39,Mid-Range,0,1,2017
87,87,Furniture Model 227,Home & Kitchen,Furniture,Brand15,43584.0,23218.0,46.73,Luxury,0,1,2021
88,88,Staples Model 982,Grocery,Staples,Brand29,1597.0,869.0,45.59,Mid-Range,1,0,2019
89,89,Beverages Model 615,Grocery,Beverages,Brand50,54.0,26.0,51.85,Budget,1,1,2019
90,90,Haircare Model 882,Beauty,Haircare,Brand44,683.0,305.0,55.34,Mid-Range,0,1,2020
91,91,Staples Model 832,Grocery,Staples,Brand41,558.0,297.0,46.77,Mid-Range,1,1,2017
